연도,월,날짜,지역,행정구역,구분,관광지,방문자수,평균지출액,평균기온,강수량_mm,외국인비율,이벤트,비고
2023,1,2023-01-01,서귀포시,영천동,동,서귀포 일대,5324.0,132148,4.0,78.0,0.124,False,
2023,1,2023-01-01,서귀포시,동홍동,동,서귀포 일대,6637.0,125400,4.0,78.0,0.107,False,
2023,1,2023-01-01,서귀포시,서홍동,동,서귀포 일대,5571.0,127652,4.1,47.0,0.117,False,
2023,1,2023-01-01,서귀포시,대륜동,동,서귀포 일대,6815.0,125143,4.0,68.0,0.135,False,
2023,1,2023-01-01,서귀포시,대천동,동,서귀포 일대,5877.0,129478,4.1,64.0,0.127,False,
2023,1,2023-01-01,서귀포시,중문동,동,서귀포 일대,6966.0,130401,4.5,70.0,0.127,False,
2023,1,2023-01-01,서귀포시,예래동,동,서귀포 일대,7458.0,131232,4.0,74.0,0.157,False,
2023,1,2023-01-01,서귀포시,대정읍,읍,서귀포 일대,8474.0,131115,3.8,66.0,0.142,False,
2023,1,2023-01-01,서귀포시,남원읍,읍,서귀포 일대,8278.0,126201,4.6,74.0,0.133,False,
2023,1,2023-01-01,서귀포시,성산읍,읍,서귀포 일대,7630.0,125128,5.0,118.0,0.109,False,
2023,1,2023-01-01,서귀포시,안덕면,면,서귀포 일대,5221.0,125509,3.9,62.0,0.12,False,
2023,1,2023-01-01,서귀포시,표선면,면,서귀포 일대,5241.0,128436,4.8,60.0,0.099,False,
2023,2,2023-02-01,제주시,아라동,동,제주 전역,4243.0,134551,4.3,58.0,0.144,False,
2023,2,2023-02-01,제주시,봉개동,동,제주 전역,4585.0,127193,5.8,56.0,0.124,False,
2023,2,2023-02-01,제주시,도두동,동,제주 전역,4048.0,132249,5.3,42.0,0.121,False,
2023,2,2023-02-01,제주시,건입동,동,제주 전역,5393.0,128608,5.2,62.0,0.13,False,
2023,2,2023-02-01,제주시,화북동,동,제주 전역,4324.0,131704,5.1,67.0,0.141,False,
2023,2,2023-02-01,제주시,이도1동,동,제주 전역,5498.0,127168,5.8,89.0,0.133,False,
2023,2,2023-02-01,제주시,이도2동,동,제주 전역,3918.0,136105,4.3,62.0,0.12,False,
2023,2,2023-02-01,제주시,이호동,동,제주 전역,4764.0,134921,4.0,71.0,0.141,False,
2023,2,2023-02-01,제주시,일도1동,동,제주 전역,3506.0,133253,3.9,55.0,0.129,False,
2023,2,2023-02-01,제주시,일도2동,동,제주 전역,4504.0,132132,5.6,77.0,0.131,False,
2023,2,2023-02-01,제주시,노형동,동,제주 전역,5146.0,134557,5.0,59.0,0.147,False,
2023,2,2023-02-01,제주시,외도동,동,제주 전역,4317.0,136532,4.8,44.0,0.136,False,
2023,2,2023-02-01,제주시,오라동,동,제주 전역,4654.0,128201,3.7,50.0,0.146,False,
2023,2,2023-02-01,제주시,삼도1동,동,제주 전역,4769.0,127553,5.3,66.0,0.132,False,
2023,2,2023-02-01,제주시,삼도2동,동,제주 전역,4993.0,135175,5.6,73.0,0.117,False,
2023,2,2023-02-01,제주시,삼양동,동,제주 전역,4519.0,130955,5.0,55.0,0.114,False,
2023,2,2023-02-01,제주시,연동,동,제주 전역,4351.0,132395,4.6,81.0,0.132,False,
2023,2,2023-02-01,제주시,용담1동,동,제주 전역,3695.0,131490,5.2,66.0,0.135,False,
2023,2,2023-02-01,제주시,용담2동,동,제주 전역,4763.0,133929,5.5,77.0,0.139,False,
2023,2,2023-02-01,제주시,애월읍,읍,제주 전역,5114.0,136396,5.2,69.0,0.112,False,
2023,2,2023-02-01,제주시,구좌읍,읍,제주 전역,4374.0,134320,4.6,76.0,0.133,False,
2023,2,2023-02-01,제주시,한림읍,읍,제주 전역,4465.0,134662,5.0,58.0,0.12,False,
2023,2,2023-02-01,제주시,조천읍,읍,제주 전역,4771.0,129759,5.0,73.0,0.149,False,
2023,2,2023-02-01,제주시,한경면,면,제주 전역,4080.0,128822,4.7,89.0,0.13,False,
2023,2,2023-02-01,제주시,추자면,면,제주 전역,3875.0,129207,4.7,67.0,0.119,False,
2023,2,2023-02-01,제주시,우도면,면,제주 전역,3605.0,132771,5.8,57.0,0.118,False,
2023,2,2023-02-01,서귀포시,송산동,동,서귀포 일대,7027.0,132896,5.5,49.0,0.133,False,
2023,2,2023-02-01,서귀포시,정방동,동,서귀포 일대,6212.0,133416,5.4,57.0,0.148,False,
2023,2,2023-02-01,서귀포시,중앙동,동,서귀포 일대,7787.0,130738,5.1,53.0,0.152,False,
2023,2,2023-02-01,서귀포시,천지동,동,서귀포 일대,8061.0,133750,5.7,69.0,0.126,False,
2023,2,2023-02-01,서귀포시,효돈동,동,서귀포 일대,7543.0,129136,4.7,64.0,0.106,False,
2023,2,2023-02-01,서귀포시,영천동,동,서귀포 일대,7248.0,131071,4.9,63.0,0.121,False,
2023,2,2023-02-01,서귀포시,동홍동,동,서귀포 일대,6773.0,136215,5.4,62.0,0.141,False,
2023,2,2023-02-01,서귀포시,서홍동,동,서귀포 일대,4978.0,127605,4.9,110.0,0.114,False,
2023,2,2023-02-01,서귀포시,대륜동,동,서귀포 일대,8223.0,136256,5.7,56.0,0.136,False,
2023,2,2023-02-01,서귀포시,대천동,동,서귀포 일대,6830.0,128297,4.8,65.0,0.136,False,
2023,2,2023-02-01,서귀포시,중문동,동,서귀포 일대,7912.0,134238,5.2,63.0,0.109,False,
2023,2,2023-02-01,서귀포시,예래동,동,서귀포 일대,7745.0,133515,5.2,75.0,0.128,False,
2023,2,2023-02-01,서귀포시,대정읍,읍,서귀포 일대,7653.0,129486,4.8,76.0,0.122,False,
2023,2,2023-02-01,서귀포시,남원읍,읍,서귀포 일대,8208.0,135865,5.3,64.0,0.139,False,
2023,2,2023-02-01,서귀포시,성산읍,읍,서귀포 일대,8068.0,136013,5.3,69.0,0.155,False,
2023,2,2023-02-01,서귀포시,안덕면,면,서귀포 일대,5513.0,136040,5.3,78.0,0.117,False,
2023,2,2023-02-01,서귀포시,표선면,면,서귀포 일대,4901.0,129147,4.8,55.0,0.128,False,
2023,3,2023-03-01,제주시,아라동,동,제주 전역,5243.0,143194,8.9,82.0,0.15,False,
2023,3,2023-03-01,제주시,봉개동,동,제주 전역,4494.0,137057,8.7,70.0,0.147,False,
2023,3,2023-03-01,제주시,도두동,동,제주 전역,5091.0,141548,8.5,79.0,0.163,False,
2023,3,2023-03-01,제주시,건입동,동,제주 전역,4924.0,136500,8.5,85.0,0.155,False,
2023,3,2023-03-01,제주시,화북동,동,제주 전역,5091.0,134290,7.7,84.0,0.154,False,
2023,3,2023-03-01,제주시,이도1동,동,제주 전역,4834.0,138864,7.7,93.0,0.146,False,
2023,3,2023-03-01,제주시,이도2동,동,제주 전역,4911.0,140994,8.4,85.0,0.166,False,
2023,3,2023-03-01,제주시,이호동,동,제주 전역,5988.0,142598,8.4,74.0,0.136,False,
2023,3,2023-03-01,제주시,일도1동,동,제주 전역,5486.0,140784,8.8,77.0,0.16,False,
2023,3,2023-03-01,제주시,일도2동,동,제주 전역,5213.0,143430,8.2,117.0,0.155,False,
2023,3,2023-03-01,제주시,노형동,동,제주 전역,6305.0,142661,8.6,71.0,0.164,False,
2023,3,2023-03-01,제주시,외도동,동,제주 전역,5484.0,134358,8.6,95.0,0.156,False,
2023,3,2023-03-01,제주시,오라동,동,제주 전역,4295.0,134866,9.0,80.0,0.151,False,
2023,3,2023-03-01,제주시,삼도1동,동,제주 전역,4383.0,138039,8.7,106.0,0.151,False,
2023,3,2023-03-01,제주시,삼도2동,동,제주 전역,5088.0,138199,8.5,85.0,0.157,False,
2023,3,2023-03-01,제주시,삼양동,동,제주 전역,5362.0,134035,8.6,118.0,0.137,False,
2023,3,2023-03-01,제주시,연동,동,제주 전역,6287.0,142075,10.1,84.0,0.15,False,
2023,3,2023-03-01,제주시,용담1동,동,제주 전역,5328.0,137123,8.0,115.0,0.149,False,
2023,3,2023-03-01,제주시,용담2동,동,제주 전역,5452.0,139271,8.1,109.0,0.171,False,
2023,3,2023-03-01,제주시,애월읍,읍,제주 전역,6069.0,141793,9.6,110.0,0.145,False,
2023,3,2023-03-01,제주시,구좌읍,읍,제주 전역,5758.0,138980,8.9,81.0,0.148,False,
2023,3,2023-03-01,제주시,한림읍,읍,제주 전역,6460.0,140323,7.4,129.0,0.155,False,
2023,3,2023-03-01,제주시,조천읍,읍,제주 전역,5596.0,133992,8.4,101.0,0.141,False,
2023,3,2023-03-01,제주시,한경면,면,제주 전역,4435.0,133281,9.0,81.0,0.154,False,
2023,3,2023-03-01,제주시,추자면,면,제주 전역,4811.0,140818,9.5,109.0,0.142,False,
2023,3,2023-03-01,제주시,우도면,면,제주 전역,4313.0,135820,8.7,94.0,0.152,False,
2023,3,2023-03-01,서귀포시,송산동,동,서귀포 일대,8082.0,138170,8.0,123.0,0.144,False,
2023,3,2023-03-01,서귀포시,정방동,동,서귀포 일대,8290.0,134503,8.9,85.0,0.151,False,
2023,3,2023-03-01,서귀포시,중앙동,동,서귀포 일대,8628.0,132621,9.1,103.0,0.161,False,
2023,3,2023-03-01,서귀포시,천지동,동,서귀포 일대,8375.0,136301,8.3,105.0,0.133,False,
2023,3,2023-03-01,서귀포시,효돈동,동,서귀포 일대,9155.0,133250,8.1,95.0,0.16,False,
2023,3,2023-03-01,서귀포시,영천동,동,서귀포 일대,8347.0,141006,8.5,103.0,0.148,False,
2023,3,2023-03-01,서귀포시,동홍동,동,서귀포 일대,8104.0,139975,8.2,85.0,0.124,False,
2023,3,2023-03-01,서귀포시,서홍동,동,서귀포 일대,7274.0,137759,8.7,109.0,0.142,False,
2023,3,2023-03-01,서귀포시,대륜동,동,서귀포 일대,7551.0,135029,8.7,80.0,0.143,False,
2023,3,2023-03-01,서귀포시,대천동,동,서귀포 일대,8018.0,135773,8.7,91.0,0.149,False,
2023,3,2023-03-01,서귀포시,중문동,동,서귀포 일대,9686.0,139435,7.8,107.0,0.158,False,
2023,3,2023-03-01,서귀포시,예래동,동,서귀포 일대,8194.0,136217,8.1,91.0,0.157,False,
2023,3,2023-03-01,서귀포시,대정읍,읍,서귀포 일대,8361.0,141678,8.2,97.0,0.153,False,
2023,3,2023-03-01,서귀포시,남원읍,읍,서귀포 일대,10140.0,138622,8.1,82.0,0.132,False,
2023,3,2023-03-01,서귀포시,성산읍,읍,서귀포 일대,10074.0,133548,8.5,81.0,0.166,False,
2023,3,2023-03-01,서귀포시,안덕면,면,서귀포 일대,7562.0,136518,8.8,92.0,0.139,False,
2023,3,2023-03-01,서귀포시,표선면,면,서귀포 일대,6763.0,136876,9.0,97.0,0.133,False,
2023,4,2023-04-01,제주시,아라동,동,제주 전역,5922.0,148404,12.3,126.0,0.171,False,
2023,4,2023-04-01,제주시,봉개동,동,제주 전역,5289.0,145315,12.5,96.0,0.203,False,
2023,4,2023-04-01,제주시,도두동,동,제주 전역,6008.0,147543,12.7,99.0,0.165,False,
2023,4,2023-04-01,제주시,건입동,동,제주 전역,5559.0,145698,13.7,87.0,0.153,False,
2023,4,2023-04-01,제주시,화북동,동,제주 전역,6280.0,146776,13.2,120.0,0.194,False,
2023,4,2023-04-01,제주시,이도1동,동,제주 전역,5640.0,143810,12.5,96.0,0.177,False,
2023,4,2023-04-01,제주시,이도2동,동,제주 전역,4867.0,140060,12.8,124.0,0.186,False,
2023,4,2023-04-01,제주시,이호동,동,제주 전역,6704.0,139656,13.1,124.0,0.192,False,
2023,4,2023-04-01,제주시,일도1동,동,제주 전역,5329.0,145051,13.0,99.0,0.177,False,
2023,4,2023-04-01,제주시,일도2동,동,제주 전역,5460.0,141868,13.0,104.0,0.19,False,
2023,4,2023-04-01,제주시,노형동,동,제주 전역,6577.0,145262,13.1,99.0,0.186,False,
2023,4,2023-04-01,제주시,외도동,동,제주 전역,6983.0,147316,13.0,131.0,0.199,False,
2023,4,2023-04-01,제주시,오라동,동,제주 전역,6169.0,140621,12.9,99.0,0.193,False,
2023,4,2023-04-01,제주시,삼도1동,동,제주 전역,6077.0,139274,12.4,118.0,0.193,False,
2023,4,2023-04-01,제주시,삼도2동,동,제주 전역,4838.0,139772,12.9,122.0,0.19,False,
2023,4,2023-04-01,제주시,삼양동,동,제주 전역,5204.0,141488,12.7,117.0,0.179,False,
2023,4,2023-04-01,제주시,연동,동,제주 전역,6714.0,149527,12.4,98.0,0.192,False,
2023,4,2023-04-01,제주시,용담1동,동,제주 전역,5103.0,149027,12.7,107.0,0.205,False,
2023,4,2023-04-01,제주시,용담2동,동,제주 전역,5031.0,141393,13.2,120.0,0.17,False,
2023,4,2023-04-01,제주시,애월읍,읍,제주 전역,6541.0,141234,12.7,99.0,0.186,False,
2023,4,2023-04-01,제주시,구좌읍,읍,제주 전역,5881.0,150429,12.6,104.0,0.185,False,
2023,4,2023-04-01,제주시,한림읍,읍,제주 전역,6394.0,143048,14.0,137.0,0.179,False,
2023,4,2023-04-01,제주시,조천읍,읍,제주 전역,6429.0,146240,12.4,116.0,0.203,False,
2023,4,2023-04-01,제주시,한경면,면,제주 전역,5001.0,145946,12.2,93.0,0.18,False,
2023,4,2023-04-01,제주시,추자면,면,제주 전역,4527.0,150500,12.6,101.0,0.186,False,
2023,4,2023-04-01,제주시,우도면,면,제주 전역,4219.0,143477,12.7,111.0,0.188,False,
2023,4,2023-04-01,서귀포시,송산동,동,서귀포 일대,8098.0,146327,13.1,112.0,0.176,False,
2023,4,2023-04-01,서귀포시,정방동,동,서귀포 일대,9066.0,141328,12.9,103.0,0.173,False,
2023,4,2023-04-01,서귀포시,중앙동,동,서귀포 일대,9040.0,141325,13.4,108.0,0.175,False,
2023,4,2023-04-01,서귀포시,천지동,동,서귀포 일대,7851.0,140205,12.9,109.0,0.184,False,
2023,4,2023-04-01,서귀포시,효돈동,동,서귀포 일대,8574.0,141715,12.3,111.0,0.197,False,
2023,4,2023-04-01,서귀포시,영천동,동,서귀포 일대,9940.0,149083,13.8,123.0,0.179,False,
2023,4,2023-04-01,서귀포시,동홍동,동,서귀포 일대,9210.0,144382,13.6,111.0,0.165,False,
2023,4,2023-04-01,서귀포시,서홍동,동,서귀포 일대,9441.0,148874,12.9,101.0,0.189,False,
2023,4,2023-04-01,서귀포시,대륜동,동,서귀포 일대,10616.0,140622,13.4,111.0,0.182,False,
2023,4,2023-04-01,서귀포시,대천동,동,서귀포 일대,8611.0,148173,13.6,118.0,0.19,False,
2023,4,2023-04-01,서귀포시,중문동,동,서귀포 일대,9839.0,144887,12.2,128.0,0.162,False,
2023,4,2023-04-01,서귀포시,예래동,동,서귀포 일대,9401.0,142309,13.3,128.0,0.175,False,
2023,4,2023-04-01,서귀포시,대정읍,읍,서귀포 일대,9632.0,144382,12.9,103.0,0.167,False,
2023,4,2023-04-01,서귀포시,남원읍,읍,서귀포 일대,9694.0,145283,12.6,124.0,0.192,False,
2023,4,2023-04-01,서귀포시,성산읍,읍,서귀포 일대,9761.0,148765,13.2,114.0,0.168,False,
2023,4,2023-04-01,서귀포시,안덕면,면,서귀포 일대,6785.0,141193,13.1,95.0,0.187,False,
2023,4,2023-04-01,서귀포시,표선면,면,서귀포 일대,8073.0,149370,12.9,124.0,0.188,False,
2023,5,2023-05-01,제주시,아라동,동,제주 전역,7390.0,155211,17.4,128.0,0.23,True,5월 축제 효과
2023,5,2023-05-01,제주시,봉개동,동,제주 전역,6402.0,151620,16.3,108.0,0.247,True,5월 축제 효과
2023,5,2023-05-01,제주시,도두동,동,제주 전역,7894.0,151791,17.2,110.0,0.225,True,5월 축제 효과
2023,5,2023-05-01,제주시,건입동,동,제주 전역,6448.0,159445,17.7,111.0,0.228,True,5월 축제 효과
2023,5,2023-05-01,제주시,화북동,동,제주 전역,7041.0,154217,18.1,98.0,0.217,True,5월 축제 효과
2023,5,2023-05-01,제주시,이도1동,동,제주 전역,6913.0,151941,16.9,130.0,0.22,True,5월 축제 효과
2023,5,2023-05-01,제주시,이도2동,동,제주 전역,7209.0,158651,17.6,84.0,0.211,True,5월 축제 효과
2023,5,2023-05-01,제주시,이호동,동,제주 전역,6494.0,160049,17.5,142.0,0.217,True,5월 축제 효과
2023,5,2023-05-01,제주시,일도1동,동,제주 전역,6425.0,159338,17.2,121.0,0.236,True,5월 축제 효과
2023,5,2023-05-01,제주시,일도2동,동,제주 전역,6867.0,157300,17.6,125.0,0.211,True,5월 축제 효과
2023,5,2023-05-01,제주시,노형동,동,제주 전역,6965.0,151151,18.2,109.0,0.215,True,5월 축제 효과
2023,5,2023-05-01,제주시,외도동,동,제주 전역,6769.0,154090,16.9,105.0,0.232,True,5월 축제 효과
2023,5,2023-05-01,제주시,오라동,동,제주 전역,6223.0,150443,17.7,139.0,0.211,True,5월 축제 효과
2023,5,2023-05-01,제주시,삼도1동,동,제주 전역,6959.0,158321,18.1,133.0,0.21,True,5월 축제 효과
2023,5,2023-05-01,제주시,삼도2동,동,제주 전역,7441.0,151543,16.7,151.0,0.211,True,5월 축제 효과
2023,5,2023-05-01,제주시,삼양동,동,제주 전역,7858.0,156830,18.1,128.0,0.24,True,5월 축제 효과
2023,5,2023-05-01,제주시,연동,동,제주 전역,7341.0,149691,16.7,103.0,0.21,True,5월 축제 효과
2023,5,2023-05-01,제주시,용담1동,동,제주 전역,5989.0,153442,17.6,113.0,0.23,True,5월 축제 효과
2023,5,2023-05-01,제주시,용담2동,동,제주 전역,6238.0,156573,16.9,122.0,0.191,True,5월 축제 효과
2023,5,2023-05-01,제주시,애월읍,읍,제주 전역,9640.0,155779,18.5,126.0,0.233,True,5월 축제 효과
2023,5,2023-05-01,제주시,구좌읍,읍,제주 전역,9220.0,152218,17.5,109.0,0.229,True,5월 축제 효과
2023,5,2023-05-01,제주시,한림읍,읍,제주 전역,7178.0,161088,17.6,113.0,0.212,True,5월 축제 효과
2023,5,2023-05-01,제주시,조천읍,읍,제주 전역,8050.0,157884,17.0,134.0,0.214,True,5월 축제 효과
2023,5,2023-05-01,제주시,한경면,면,제주 전역,6562.0,152400,17.3,131.0,0.223,True,5월 축제 효과
2023,5,2023-05-01,제주시,추자면,면,제주 전역,6024.0,160000,17.9,127.0,0.246,True,5월 축제 효과
2023,5,2023-05-01,제주시,우도면,면,제주 전역,7373.0,150555,17.1,105.0,0.215,True,5월 축제 효과
2023,5,2023-05-01,서귀포시,송산동,동,서귀포 일대,9443.0,154143,17.2,108.0,0.224,True,
2023,5,2023-05-01,서귀포시,정방동,동,서귀포 일대,10518.0,160489,18.1,136.0,0.206,True,
2023,5,2023-05-01,서귀포시,중앙동,동,서귀포 일대,10695.0,151361,16.5,120.0,0.214,True,
2023,5,2023-05-01,서귀포시,천지동,동,서귀포 일대,12230.0,157301,17.7,119.0,0.214,True,
2023,5,2023-05-01,서귀포시,효돈동,동,서귀포 일대,10683.0,156982,17.3,120.0,0.222,True,
2023,5,2023-05-01,서귀포시,영천동,동,서귀포 일대,10485.0,159256,17.5,112.0,0.217,True,
2023,5,2023-05-01,서귀포시,동홍동,동,서귀포 일대,12762.0,153716,17.2,129.0,0.23,True,
2023,5,2023-05-01,서귀포시,서홍동,동,서귀포 일대,11198.0,158202,18.0,118.0,0.215,True,
2023,5,2023-05-01,서귀포시,대륜동,동,서귀포 일대,12179.0,157513,17.1,117.0,0.213,True,
2023,5,2023-05-01,서귀포시,대천동,동,서귀포 일대,9172.0,149347,17.8,93.0,0.175,True,
2023,5,2023-05-01,서귀포시,중문동,동,서귀포 일대,12089.0,156800,16.9,91.0,0.212,True,
2023,5,2023-05-01,서귀포시,예래동,동,서귀포 일대,9990.0,158878,17.1,112.0,0.216,True,
2023,5,2023-05-01,서귀포시,대정읍,읍,서귀포 일대,13439.0,158193,17.6,117.0,0.226,True,
2023,5,2023-05-01,서귀포시,남원읍,읍,서귀포 일대,12792.0,152043,17.0,119.0,0.211,True,
2023,5,2023-05-01,서귀포시,성산읍,읍,서귀포 일대,14251.0,149828,18.1,132.0,0.216,True,
2023,5,2023-05-01,서귀포시,안덕면,면,서귀포 일대,10386.0,152748,17.6,153.0,0.23,True,
2023,5,2023-05-01,서귀포시,표선면,면,서귀포 일대,7428.0,157705,17.7,115.0,0.225,True,
2023,6,2023-06-01,제주시,아라동,동,제주 전역,6924.0,161759,21.8,188.0,0.254,False,
2023,6,2023-06-01,제주시,봉개동,동,제주 전역,6384.0,163409,21.6,182.0,0.29,False,
2023,6,2023-06-01,제주시,도두동,동,제주 전역,4849.0,162356,20.2,180.0,0.224,False,
2023,6,2023-06-01,제주시,건입동,동,제주 전역,6359.0,159250,22.0,170.0,0.241,False,
2023,6,2023-06-01,제주시,화북동,동,제주 전역,6475.0,159050,21.6,190.0,0.264,False,
2023,6,2023-06-01,제주시,이도1동,동,제주 전역,5937.0,160481,21.9,174.0,0.266,False,
2023,6,2023-06-01,제주시,이도2동,동,제주 전역,6536.0,163151,21.5,188.0,0.242,False,
2023,6,2023-06-01,제주시,이호동,동,제주 전역,5800.0,159944,21.2,171.0,0.253,False,
2023,6,2023-06-01,제주시,일도1동,동,제주 전역,7130.0,155201,20.9,180.0,0.262,False,
2023,6,2023-06-01,제주시,일도2동,동,제주 전역,6736.0,154860,21.3,194.0,0.244,False,
2023,6,2023-06-01,제주시,노형동,동,제주 전역,6825.0,158890,22.1,159.0,0.254,False,
2023,6,2023-06-01,제주시,외도동,동,제주 전역,7290.0,154289,21.2,185.0,0.246,False,
2023,6,2023-06-01,제주시,오라동,동,제주 전역,5688.0,157649,21.2,177.0,0.251,False,
2023,6,2023-06-01,제주시,삼도1동,동,제주 전역,6100.0,162501,21.0,189.0,0.248,False,
2023,6,2023-06-01,제주시,삼도2동,동,제주 전역,5605.0,160017,21.1,182.0,0.246,False,
2023,6,2023-06-01,제주시,삼양동,동,제주 전역,6012.0,160387,21.7,202.0,0.245,False,
2023,6,2023-06-01,제주시,연동,동,제주 전역,6774.0,162312,21.6,176.0,0.256,False,
2023,6,2023-06-01,제주시,용담1동,동,제주 전역,5844.0,158956,22.5,170.0,0.233,False,
2023,6,2023-06-01,제주시,용담2동,동,제주 전역,5689.0,160342,20.9,199.0,0.247,False,
2023,6,2023-06-01,제주시,애월읍,읍,제주 전역,8009.0,153707,21.5,193.0,0.253,False,
2023,6,2023-06-01,제주시,구좌읍,읍,제주 전역,7737.0,155568,22.4,155.0,0.266,False,
2023,6,2023-06-01,제주시,한림읍,읍,제주 전역,6766.0,152907,22.5,169.0,0.244,False,
2023,6,2023-06-01,제주시,조천읍,읍,제주 전역,7111.0,160486,20.7,193.0,0.238,False,
2023,6,2023-06-01,제주시,한경면,면,제주 전역,5596.0,156068,21.2,177.0,0.246,False,
2023,6,2023-06-01,제주시,추자면,면,제주 전역,5304.0,156318,21.6,187.0,0.256,False,
2023,6,2023-06-01,제주시,우도면,면,제주 전역,5142.0,163696,21.1,183.0,0.247,False,
2023,6,2023-06-01,서귀포시,송산동,동,서귀포 일대,9468.0,162783,21.7,180.0,0.242,False,
2023,6,2023-06-01,서귀포시,정방동,동,서귀포 일대,9479.0,158148,22.1,181.0,0.237,False,
2023,6,2023-06-01,서귀포시,중앙동,동,서귀포 일대,8411.0,160748,21.9,143.0,0.263,False,
2023,6,2023-06-01,서귀포시,천지동,동,서귀포 일대,10155.0,163775,21.2,174.0,0.25,False,
2023,6,2023-06-01,서귀포시,효돈동,동,서귀포 일대,8768.0,157875,21.3,199.0,0.267,False,
2023,6,2023-06-01,서귀포시,영천동,동,서귀포 일대,8836.0,156970,21.3,181.0,0.238,False,
2023,6,2023-06-01,서귀포시,동홍동,동,서귀포 일대,9220.0,155180,20.9,173.0,0.261,False,
2023,6,2023-06-01,서귀포시,서홍동,동,서귀포 일대,9462.0,153106,22.3,176.0,0.249,False,
2023,6,2023-06-01,서귀포시,대륜동,동,서귀포 일대,10411.0,162829,20.9,159.0,0.256,False,
2023,6,2023-06-01,서귀포시,대천동,동,서귀포 일대,11732.0,159173,22.4,171.0,0.262,False,
2023,6,2023-06-01,서귀포시,중문동,동,서귀포 일대,10609.0,153568,20.9,170.0,0.259,False,
2023,6,2023-06-01,서귀포시,예래동,동,서귀포 일대,10707.0,163824,21.1,160.0,0.256,False,
2023,6,2023-06-01,서귀포시,대정읍,읍,서귀포 일대,12832.0,161624,21.3,198.0,0.238,False,
2023,6,2023-06-01,서귀포시,남원읍,읍,서귀포 일대,9934.0,155962,21.5,180.0,0.244,False,
2023,6,2023-06-01,서귀포시,성산읍,읍,서귀포 일대,10935.0,156328,22.2,189.0,0.231,False,
